; Composite MgII index V5  mark.weber@uni-bremen.de 20220213
;
;  1       N7/N9/N11 (Viereck 1999)   3892
;  2                        N7/SBUV     50
;  3                       N9/SBUV2      9
;  4                      N11/SBUV2     17
;  5                      N16/SBUV2    181
;  6                      N17/SBUV2      3
;  7                      N18/SBUV2      1
;  8      U/SOLSTICE (de Toma 1997)      0
;  9           U/SOLSTICE (classic)   1369
; 10                          SUSIM    109
  1979.74384 09 29 0.16692  1.72e-03  19
  1979.74658 09 30 0.16608  5.18e-04   1
  1979.74932 10 01 0.16568  5.12e-04   1
  1979.75205 10 02 0.16539  1.61e-03  19
  1979.75479 10 03 0.16506  1.59e-03  19
  1979.75753 10 04 0.16539  5.08e-04   1
  1979.76027 10 05 0.16588  5.15e-04   1
  1979.76301 10 06 0.16647  5.24e-04   1
  1979.76575 10 07 0.16569  1.63e-03  19
  1979.76849 10 08 0.16666  5.27e-04   1
  1979.77123 10 09 0.16702  1.72e-03  19
  1979.77397 10 10 0.16784  5.45e-04   1
  1979.77671 10 11 0.16843  1.82e-03  19
  1979.77945 10 12 0.16774  5.44e-04   1
  1979.78219 10 13 0.16960  5.74e-04   1
  1979.78493 10 14 0.16989  5.78e-04   1
  1979.78767 10 15 0.17087  1.99e-03  19
  1979.79041 10 16 0.17204  6.15e-04   1
  1979.79315 10 17 0.17273  6.26e-04   1
  1979.79589 10 18 0.17332  6.37e-04   1
  1979.79863 10 19 0.17196  2.07e-03  19
  1979.80137 10 20 0.17204  2.08e-03  19
  1979.80411 10 21 0.17200  2.07e-03  19
  1979.80685 10 22 0.17253  6.23e-04   1
  1979.80959 10 23 0.17134  2.03e-03  19
  1979.81233 10 24 0.16989  5.78e-04   1
  1979.81507 10 25 0.16793  5.47e-04   1
  1979.81781 10 26 0.16774  5.44e-04   1
  1979.82055 10 27 0.16881  1.85e-03  19
  1979.82329 10 28 0.16686  5.30e-04   1
  1979.82603 10 29 0.16725  5.36e-04   1
  1979.82877 10 30 0.16803  5.48e-04   1
  1979.83151 10 31 0.16896  1.86e-03  19
  1979.83425 11 01 0.16950  5.72e-04   1
  1979.83699 11 02 0.16979  5.77e-04   1
  1979.83973 11 03 0.17059  1.97e-03  19
  1979.84247 11 04 0.17159  2.04e-03  19
  1979.84521 11 05 0.17019  5.83e-04   1
  1979.84795 11 06 0.17204  6.15e-04   1
  1979.85068 11 07 0.17627  2.39e-03  19
  1979.85342 11 08 0.17788  2.51e-03  19
  1979.85616 11 09 0.17420  6.52e-04   1
  1979.85890 11 10 0.18005  2.68e-03  19
  1979.86164 11 11 0.17674  6.98e-04   1
  1979.86438 11 12 0.17997  2.68e-03  19
  1979.86712 11 13 0.17596  6.83e-04   1
  1979.86986 11 14 0.17576  6.80e-04   1
  1979.87260 11 15 0.17707  2.45e-03  19
  1979.87534 11 16 0.17575  2.35e-03  19
  1979.87808 11 17 0.17322  6.35e-04   1
  1979.88082 11 18 0.17275  2.13e-03  19
  1979.88356 11 19 0.17009  5.82e-04   1
  1979.88630 11 20 0.16973  1.91e-03  19
  1979.88904 11 21 0.16637  5.22e-04   1
  1979.89178 11 22 0.16539  5.08e-04   1
  1979.89452 11 23 0.16480  4.99e-04   1
  1979.89726 11 24 0.16520  1.60e-03  19
  1979.90000 11 25 0.16412  4.89e-04   1
  1979.90274 11 26 0.16402  4.88e-04   1
  1979.90548 11 27 0.16431  4.92e-04   1
  1979.90822 11 28 0.16313  1.46e-03  19
  1979.91096 11 29 0.16314  4.76e-04   1
  1979.91370 11 30 0.16343  4.80e-04   1
  1979.91644 12 01 0.16392  4.86e-04   1
  1979.91918 12 02 0.16531  1.61e-03  19
  1979.92192 12 03 0.16671  1.70e-03  19
  1979.92466 12 04 0.16793  5.47e-04   1
  1979.92740 12 05 0.17009  5.82e-04   1
  1979.93014 12 06 0.17038  5.87e-04   1
  1979.93288 12 07 0.17355  2.19e-03  19
  1979.93562 12 08 0.17410  6.50e-04   1
  1979.93836 12 09 0.17557  6.76e-04   1
  1979.94110 12 10 0.17649  2.41e-03  19
  1979.94384 12 11 0.17645  6.92e-04   1
  1979.94658 12 12 0.17752  7.12e-04   1
  1979.94932 12 13 0.17694  7.01e-04   1
  1979.95205 12 14 0.17431  2.24e-03  19
  1979.95479 12 15 0.17302  6.32e-04   1
  1979.95753 12 16 0.17136  6.03e-04   1
  1979.96027 12 17 0.16901  5.64e-04   1
  1979.96301 12 18 0.16805  1.79e-03  19
  1979.96575 12 19 0.16451  4.95e-04   1
  1979.96849 12 20 0.16504  1.59e-03  19
  1979.97123 12 21 0.16255  4.68e-04   1
  1979.97397 12 22 0.16304  1.45e-03  19
  1979.97671 12 23 0.16148  4.54e-04   1
  1979.97945 12 24 0.16177  4.57e-04   1
  1979.98219 12 25 0.16197  4.60e-04   1
  1979.98493 12 26 0.16165  1.36e-03  19
  1979.98767 12 27 0.16193  1.38e-03  19
  1979.99041 12 28 0.16226  4.64e-04   1
  1979.99315 12 29 0.16422  4.91e-04   1
  1979.99589 12 30 0.16439  1.54e-03  19
  1979.99863 12 31 0.16715  5.34e-04   1
  1980.00137 01 01 0.16803  5.48e-04   1
  1980.00410 01 02 0.16830  1.81e-03  19
  1980.00683 01 03 0.16971  1.91e-03  19
  1980.00956 01 04 0.17204  6.15e-04   1
  1980.01230 01 05 0.17231  2.10e-03  19
  1980.01503 01 06 0.17469  6.61e-04   1
  1980.01776 01 07 0.17411  2.23e-03  19
  1980.02049 01 08 0.17449  2.26e-03  19
  1980.02322 01 09 0.17381  6.45e-04   1
  1980.02596 01 10 0.17361  6.42e-04   1
  1980.02869 01 11 0.17345  2.18e-03  19
  1980.03142 01 12 0.17341  6.38e-04   1
  1980.03415 01 13 0.17175  6.10e-04   1
  1980.03689 01 14 0.17057  1.97e-03  19
  1980.03962 01 15 0.16960  1.90e-03  19
  1980.04235 01 16 0.16686  5.30e-04   1
  1980.04508 01 17 0.16647  5.24e-04   1
  1980.04781 01 18 0.16598  5.16e-04   1
  1980.05055 01 19 0.16563  1.63e-03  19
  1980.05328 01 20 0.16324  4.77e-04   1
  1980.05601 01 21 0.16216  4.63e-04   1
  1980.05874 01 22 0.16294  4.73e-04   1
  1980.06148 01 23 0.16337  1.47e-03  19
  1980.06421 01 24 0.16304  4.74e-04   1
  1980.06694 01 25 0.16255  4.68e-04   1
  1980.06967 01 26 0.16255  4.68e-04   1
  1980.07240 01 27 0.16501  1.58e-03  19
  1980.07514 01 28 0.16422  4.91e-04   1
  1980.07787 01 29 0.16686  5.30e-04   1
  1980.08060 01 30 0.16735  5.37e-04   1
  1980.08333 01 31 0.16821  1.80e-03  19
  1980.08607 02 01 0.17107  5.98e-04   1
  1980.08880 02 02 0.17126  6.01e-04   1
  1980.09153 02 03 0.17204  6.15e-04   1
  1980.09426 02 04 0.17063  1.98e-03  19
  1980.09699 02 05 0.17165  6.08e-04   1
  1980.09973 02 06 0.17048  5.88e-04   1
  1980.10246 02 07 0.17038  5.87e-04   1
  1980.10519 02 08 0.16969  1.91e-03  19
  1980.10792 02 09 0.16735  5.37e-04   1
  1980.11066 02 10 0.16617  5.19e-04   1
  1980.11339 02 11 0.16588  5.15e-04   1
  1980.11612 02 12 0.16783  1.78e-03  19
  1980.11885 02 13 0.16715  5.34e-04   1
  1980.12158 02 14 0.16705  5.33e-04   1
  1980.12432 02 15 0.16745  5.39e-04   1
  1980.12705 02 16 0.16646  1.68e-03  19
  1980.12978 02 17 0.16764  5.42e-04   1
  1980.13251 02 18 0.16705  5.33e-04   1
  1980.13525 02 19 0.16608  5.18e-04   1
  1980.13798 02 20 0.16429  1.54e-03  19
  1980.14071 02 21 0.16461  4.96e-04   1
  1980.14344 02 22 0.16294  4.73e-04   1
  1980.14617 02 23 0.16325  1.47e-03  19
  1980.14891 02 24 0.16327  1.47e-03  19
  1980.15164 02 25 0.16358  1.49e-03  19
  1980.15437 02 26 0.16343  4.80e-04   1
  1980.15710 02 27 0.16578  5.14e-04   1
  1980.15984 02 28 0.16562  1.63e-03  19
  1980.16257 02 29 0.16930  5.69e-04   1
  1980.16530 03 01 0.16911  5.66e-04   1
  1980.16803 03 02 0.16921  5.67e-04   1
  1980.17077 03 03 0.16739  1.75e-03  19
  1980.17350 03 04 0.16833  5.53e-04   1
  1980.17623 03 05 0.16774  5.44e-04   1
  1980.17896 03 06 0.16676  5.28e-04   1
  1980.18169 03 07 0.16592  1.65e-03  19
  1980.18443 03 08 0.16422  4.91e-04   1
  1980.18716 03 09 0.16363  4.82e-04   1
  1980.18989 03 10 0.16363  4.82e-04   1
  1980.19262 03 11 0.16395  1.51e-03  19
  1980.19536 03 12 0.16412  4.89e-04   1
  1980.19809 03 13 0.16335  1.47e-03  19
  1980.20082 03 14 0.16422  4.91e-04   1
  1980.20355 03 15 0.16304  1.45e-03  19
  1980.20628 03 16 0.16314  4.76e-04   1
  1980.20902 03 17 0.16382  4.85e-04   1
  1980.21175 03 18 0.16334  4.78e-04   1
  1980.21448 03 19 0.16346  1.48e-03  19
  1980.21721 03 20 0.16441  4.93e-04   1
  1980.21995 03 21 0.16392  4.86e-04   1
  1980.22268 03 22 0.16461  4.96e-04   1
  1980.22541 03 23 0.16542  1.61e-03  19
  1980.22814 03 24 0.16568  5.12e-04   1
  1980.23087 03 25 0.16735  5.37e-04   1
  1980.23361 03 26 0.16911  5.66e-04   1
  1980.23634 03 27 0.16860  1.83e-03  19
  1980.23907 03 28 0.17116  6.00e-04   1
  1980.24180 03 29 0.17087  5.95e-04   1
  1980.24454 03 30 0.17077  5.93e-04   1
  1980.24727 03 31 0.16824  1.81e-03  19
  1980.25000 04 01 0.16823  5.51e-04   1
  1980.25273 04 02 0.16647  5.24e-04   1
  1980.25546 04 03 0.16441  4.93e-04   1
  1980.25820 04 04 0.16382  4.85e-04   1
  1980.26093 04 05 0.16353  4.81e-04   1
  1980.26366 04 06 0.16689  1.71e-03  19
  1980.26639 04 07 0.16461  4.96e-04   1
  1980.26913 04 08 0.16816  1.80e-03  19
  1980.27186 04 09 0.16647  5.24e-04   1
  1980.27459 04 10 0.16745  5.39e-04   1
  1980.27732 04 11 0.16882  5.61e-04   1
  1980.28005 04 12 0.17034  1.96e-03  19
  1980.28279 04 13 0.16960  5.74e-04   1
  1980.28552 04 14 0.16930  5.69e-04   1
  1980.28825 04 15 0.16852  5.56e-04   1
  1980.29098 04 16 0.16926  1.88e-03  19
  1980.29372 04 17 0.16686  5.30e-04   1
  1980.29645 04 18 0.16676  5.28e-04   1
  1980.29918 04 19 0.16803  5.48e-04   1
  1980.30191 04 20 0.16770  1.77e-03  19
  1980.30464 04 21 0.16882  5.61e-04   1
  1980.30738 04 22 0.16833  5.53e-04   1
  1980.31011 04 23 0.16789  1.78e-03  19
  1980.31284 04 24 0.16808  1.80e-03  19
  1980.31557 04 25 0.16872  5.59e-04   1
